key,name,ramo,unidad,state,lat,lng,advance,monto_total_inversion,ciclo,classification,ejercido
'1416RHQ0006,Adquisición de 281 Vehículos para la CONAFOR,16,Comisión Nacional Forestal,35,0,0,100.00,149240962.00,2015,,
'11096210010,"Tercer Anillo, Primera Etapa.",9,Centro SCT Aguascalientes,1,21.9523,-102.3529,100.00,681240408.00,2016,,
'14389ZU0003,Fortalecimiento de la Infraestructura de Investigación y Desarrollo Orientada a la inspección de Componentes Aeronáuticos.,38,Centro de Ingeniería y Desarrollo Industrial,22,0,0,100.00,20605898.00,2015,,
'1311A3Q0015,Programa de Adquisiciones de Bienes no Asociados a la Obra Pública para Función de Difusión Cultural,11,Universidad Nacional Autónoma de México,35,0,0,100.00,52637999.00,2014,,
'1309JZL0013,Programa de mantenimiento y rehabilitación de la infraestructura sustantiva para suministro de combustible 2014,9,Aeropuertos y Servicios Auxiliares,35,0,0,100.00,163804764.00,2014,,
'133890M0002,Infraestructura CIDE 2014,38,"Centro de Investigación y Docencia Económicas, A.C.",35,0,0,100.00,8005528.00,2014,,
'133891I0001,"Construcción de un edificio académico y de posgrados, así como el acondicionamiento de la biblioteca Luis González de El Colegio de Michoacán, A.C.",38,"El Colegio de Michoacán, A.C.",16,0,0,100.00,25959445.00,2014,,
'1312NCH0001,"Programa de Inversión de Adquisiciones de Equipamiento de las Unidades de Alta Tecnología del INMEGEN, 2015",12,Instituto Nacional de Medicina Genómica,9,0,0,100.00,22352046.00,2015,,
'12095100017,"Rehabilitación de playas en Puerto Chiapas, Chis",9,Dirección General de Puertos,7,14.727533,-92.433243,100.00,122466042.00,2015,,
'1312NBG0001,Programa de Adquisiciones de Equipo e Instrumental Médico y de Laboratorio 2014,12,Hospital Infantil de México Federico Gómez,9,0,0,100.00,50453859.00,2014,,
'1312NBV0002,Programa de adquisición de equipo e instrumental médico y de laboratorio para el INCan. 2014,12,Instituto Nacional de Cancerología,9,0,0,100.00,41398523.00,2015,,
'1109J3E0009,Habilitación de un Recinto Fiscalizado Estratégico.,9,"Administración Portuaria Integral de Veracruz, S.A. de C.V.",30,19.22924444,-96.18182222,100.00,82037399.00,2015,,
'1312NCD0006,Programa anual de adquisiciones de mobiliario y equipo de administración y otros equipos 2014,12,Instituto Nacional de Enfermedades Respiratorias Ismael Cosío Villegas,9,0,0,100.00,9321629.00,2015,,
'1311A3Q0003,Programa de Adquisiciones de Bienes no Asociados a la Obra Pública para el Nivel Posgrado,11,Universidad Nacional Autónoma de México,9,0,0,100.00,12560011.00,2014,,
'13389ZY0003,Ampliación de la infraestructura y servicios de la Dirección de Nutrición Segunda etapa,38,"Centro de Investigación en Alimentación y Desarrollo, A.C.",26,0,0,100.00,11019196.00,2014,,
'1309JZL0003,Estudios de Pre inversión para  Terminar y poner en marcha el aeropuerto de carga de Nuevo Laredo,9,Aeropuertos y Servicios Auxiliares,28,0,0,100.00,6391134.00,2014,,
'0610K2N0001,Construcción de planta piloto para producción de   Sal Marina Baja en Sodio.,10,"Exportadora de Sal, S.A. de C.V.",3,0,0,100.00,78413181.00,2014,,
'13389ZY0004,Programa de Inversión 2014,38,"Centro de Investigación en Alimentación y Desarrollo, A.C.",26,0,0,100.00,18979641.00,2014,,
'13095100004,Estudios de Preinversión,9,Dirección General de Puertos,9,0,0,100.00,15031574.00,2015,,
